Fecha,ONI,Fase_ENSO
2020-01-15,0.5,El Niño
2020-08-15,-0.57,La Niña
2020-09-15,-0.89,La Niña
2020-10-15,-1.17,La Niña
2020-11-15,-1.27,La Niña
2020-12-15,-1.19,La Niña
2021-01-15,-1.05,La Niña
2021-02-15,-0.93,La Niña
2021-03-15,-0.84,La Niña
2021-04-15,-0.66,La Niña
2021-09-15,-0.67,La Niña
2021-10-15,-0.81,La Niña
2021-11-15,-0.98,La Niña
2021-12-15,-0.98,La Niña
2022-01-15,-0.97,La Niña
2022-02-15,-0.93,La Niña
2022-03-15,-0.99,La Niña
2022-04-15,-1.06,La Niña
2022-05-15,-0.99,La Niña
2022-06-15,-0.85,La Niña
2022-07-15,-0.81,La Niña
2022-08-15,-0.91,La Niña
2022-09-15,-1.01,La Niña
2022-10-15,-0.99,La Niña
2022-11-15,-0.92,La Niña
2022-12-15,-0.83,La Niña
2023-01-15,-0.68,La Niña
2023-06-15,0.77,El Niño
2023-07-15,1.07,El Niño
2023-08-15,1.32,El Niño
2023-09-15,1.56,El Niño
2023-10-15,1.78,El Niño
2023-11-15,1.92,El Niño
2023-12-15,1.95,El Niño
2024-01-15,1.78,El Niño
2024-02-15,1.48,El Niño
2024-03-15,1.14,El Niño
2024-04-15,0.71,El Niño
2024-12-15,-0.53,La Niña
2025-01-15,-0.59,La Niña
2025-04-15,-99.9,La Niña
2025-05-15,-99.9,La Niña
2025-06-15,-99.9,La Niña
2025-07-15,-99.9,La Niña
2025-08-15,-99.9,La Niña
2025-09-15,-99.9,La Niña
2025-10-15,-99.9,La Niña
2025-11-15,-99.9,La Niña
2025-12-15,-99.9,La Niña
